date,close,target,vader_score,lm_score,finbert_score,sbert_score,vader_compound,vader_pos,vader_neg,vader_neu
2020-01-02,152.1583709716797,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,150.2637481689453,1,0.4625000000000001,0.037037037037037035,0.5013618667920431,-0.048559353,0.4625000000000001,0.261,0.0,0.739
2020-01-06,150.6521759033203,1,0.8176,0.0,0.8694716095924377,-0.19005217,0.8176,0.515,0.0,0.485
2020-01-07,149.278564453125,1,0.0,0.3333333333333333,0.9331955909729004,-0.3543739,0.0,0.0,0.0,1.0
2020-01-08,151.6563262939453,1,0.8309,0.0,0.9131510555744171,-0.03569987,0.8309,0.311,0.0,0.6890000000000001
2020-01-09,153.55096435546875,1,0.1909,0.0,0.33640557527542114,0.0044626724,0.1909,0.1355,0.0,0.8645
2020-01-10,152.84051513671875,1,0.3818,0.0,0.0,-0.05987232,0.3818,0.224,0.0,0.776
2020-01-13,154.6782684326172,1,0.05159999999999998,0.024321266968325792,0.002840980887413025,-0.051661525,0.05159999999999998,0.09824999999999999,0.0635,0.8382499999999999
2020-01-14,153.58885192871094,1,-0.022266666666666674,-0.1111111111111111,-0.5476455092430115,-0.15194704,-0.022266666666666674,0.057999999999999996,0.06466666666666666,0.8773333333333334
2020-01-15,154.58348083496094,1,0.1366,-0.03125,-0.48108968138694763,-0.19312194,0.1366,0.065,0.0,0.935
2020-01-16,157.41603088378906,0,0.02209999999999999,0.0,0.4121011694272359,-0.105422445,0.02209999999999999,0.14533333333333334,0.06733333333333334,0.7871666666666667
2020-01-17,158.2970428466797,0,0.04562,0.014285714285714285,0.0,0.14607987,0.04562,0.0962,0.038,0.8657999999999999
2020-01-21,157.72866821289062,0,0.06272,0.02,0.0,-0.08796447,0.06272,0.0874,0.0236,0.889
2020-01-22,156.97079467773438,1,0.2732,0.07142857142857142,0.3896368145942688,-0.2549421,0.2732,0.2415,0.0,0.7585
2020-01-23,157.93702697753906,1,0.3275666666666667,-0.0037037037037037,-0.3078286647796631,-0.21585135,0.3275666666666667,0.206,0.0,0.794
2020-01-24,156.34552001953125,1,0.1908,0.01818181818181818,0.0,0.13274425,0.1908,0.0972,0.0,0.9028
2020-01-27,153.73095703125,1,0.09022,0.09803030303030302,-0.14927514791488647,-0.13127768,0.09022,0.06839999999999999,0.0,0.9316000000000001
2020-01-28,156.74342346191406,1,0.033975000000000005,0.041666666666666664,0.19696162641048431,-0.12418698,0.033975000000000005,0.046,0.06475,0.88925
2020-01-29,159.18748474121094,1,0.21921111111111113,0.056963298139768734,0.1805916494793362,0.02495912,0.21921111111111113,0.14366666666666666,0.0,0.8563333333333333
2020-01-30,163.67779541015625,1,0.14205,0.0742063492063492,0.4514191150665283,-0.015377569,0.14205,0.105625,0.017375,0.877
2020-01-31,161.26214599609375,1,0.09106666666666667,0.0,0.0,0.024198899,0.09106666666666667,0.049666666666666665,0.0,0.9503333333333334
2020-02-03,165.1934814453125,1,0.22219000000000003,0.0014423076923076928,0.08952264189720154,-0.021482667,0.22219000000000003,0.14650000000000002,0.0262,0.8273999999999999
2020-02-04,170.63113403320312,1,0.19595,0.05512820512820513,0.19216802716255188,0.15681379,0.19595,0.09275,0.0,0.90725
2020-02-05,170.42269897460938,1,0.2732,0.0,0.6185646653175354,-0.05722851,0.2732,0.149,0.0,0.851
2020-02-06,173.95619201660156,0,0.048960000000000004,0.013468013468013467,0.03717797597249349,-0.10496436,0.048960000000000004,0.09526666666666665,0.048933333333333336,0.8558
2020-02-07,174.20248413085938,1,0.14728,0.0,0.0,0.19064888,0.14728,0.0762,0.0,0.9238
2020-02-10,178.7590789794922,0,0.23566000000000004,0.007692307692307693,0.11347123384475707,0.0068814503,0.23566000000000004,0.183,0.039900000000000005,0.7771
2020-02-11,174.72354125976562,1,0.4533,0.03777472527472528,0.12163098156452179,0.04573512,0.4533,0.251875,0.0,0.748125
2020-02-12,174.97930908203125,0,0.035766666666666676,0.0,0.29972838362058,-0.13548514,0.035766666666666676,0.10033333333333333,0.10833333333333332,0.7913333333333333
2020-02-13,174.0320281982422,0,0.03152857142857143,0.023809523809523808,0.0,0.15455265,0.03152857142857143,0.07171428571428572,0.04914285714285714,0.8791428571428571
2020-02-14,175.58558654785156,0,0.17933333333333334,0.018181818181818184,0.009579708178838095,0.11985874,0.17933333333333334,0.11433333333333333,0.0285,0.8573333333333334
2020-02-18,177.36654663085938,0,0.13308235294117646,0.004901960784313725,0.04446142911911011,0.14638288,0.13308235294117646,0.0943529411764706,0.011529411764705884,0.8941176470588235
2020-02-19,177.8985137939453,0,-0.01118888888888889,-0.014285714285714287,0.09643782509697808,-0.08254418,-0.01118888888888889,0.07288888888888889,0.09355555555555556,0.8335555555555555
2020-02-20,175.1817626953125,0,0.436175,0.030448717948717948,0.27517983317375183,-0.06344864,0.436175,0.27125,0.0,0.72875
2020-02-21,169.64382934570312,0,0.4203,0.0,-0.00927288830280304,-0.14864998,0.4203,0.2675,0.0,0.7324999999999999
2020-02-24,162.3295440673828,1,0.12706666666666666,0.012820512820512822,0.0,0.080887824,0.12706666666666666,0.09533333333333333,0.027333333333333334,0.8773333333333332
2020-02-25,159.65078735351562,0,0.50005,0.10512820512820513,0.3704912066459656,-0.2034099,0.50005,0.27249999999999996,0.0,0.7275
2020-02-26,161.6456298828125,0,0.20261249999999997,0.025252525252525252,0.201611690223217,-0.12438648,0.20261249999999997,0.162375,0.056,0.781625
2020-02-27,150.2562255859375,1,0.2564181818181818,-0.012987012987012986,-0.08583775704557245,-0.12907673,0.2564181818181818,0.2000909090909091,0.030999999999999996,0.7689090909090909
2020-02-28,153.8943634033203,0,-0.025074999999999986,-0.010869565217391304,-0.2281644344329834,-0.007342413,-0.025074999999999986,0.09175,0.11125,0.797
2020-03-02,164.13433837890625,0,0.26368,-0.004285714285714284,0.12904741764068603,-0.009725759,0.26368,0.173,0.036199999999999996,0.791
2020-03-03,156.26913452148438,0,0.044616666666666666,0.015151515151515152,0.0,-0.0693158,0.044616666666666666,0.057999999999999996,0.026833333333333334,0.9151666666666666
2020-03-04,162.00657653808594,0,0.2612666666666667,0.023809523809523808,0.30258599917093915,-0.08629039,0.2612666666666667,0.1376666666666667,0.0,0.8623333333333333
2020-03-05,157.94097900390625,0,0.0,0.0,0.0,-0.024000142,0.0,0.0,0.0,1.0
2020-03-06,153.4763641357422,0,-0.1027,0.0,0.0,-0.21846119,-0.1027,0.0,0.104,0.896
2020-03-09,143.07492065429688,0,0.0,0.0,0.42389658093452454,-0.018496372,0.0,0.0,0.0,1.0
2020-03-10,152.85894775390625,0,-0.05996,0.0,-0.19769363403320311,-0.10172222,-0.05996,0.032799999999999996,0.0504,0.9168
2020-03-11,145.93418884277344,0,0.17,0.0,0.3309626281261444,0.04089918,0.17,0.073,0.0,0.927
2020-03-12,132.0940399169922,1,0.2732,0.0,0.0,-0.09814306,0.2732,0.174,0.0,0.826
2020-03-13,150.8736572265625,0,0.0,0.0,0.0,0.020512909,0.0,0.0,0.0,1.0
2020-03-16,128.6363525390625,1,0.0,0.0,0.0,-0.101084605,0.0,0.0,0.0,1.0
2020-03-17,139.22784423828125,1,0.5005999999999999,0.0,0.44411009550094604,-0.111180305,0.5005999999999999,0.2995,0.0515,0.649
2020-03-18,133.36688232421875,1,0.114775,0.010416666666666666,-0.20790275931358337,-0.23648526,0.114775,0.1605,0.08737500000000001,0.752
2020-03-19,135.5611572265625,1,0.5022500000000001,0.0,0.2534644603729248,-0.22141528,0.5022500000000001,0.363,0.0495,0.5874999999999999
2020-03-20,130.46963500976562,1,0.28492,0.041478696741854636,0.23371458053588867,-0.14277561,0.28492,0.1426,0.0,0.8573999999999999
2020-03-23,129.16831970214844,1,0.03868571428571429,-0.0226890756302521,-0.2558715684073312,-0.13922234,0.03868571428571429,0.11071428571428572,0.10342857142857143,0.7858571428571429
2020-03-24,140.90916442871094,1,0.016800000000000006,0.0,0.08520940939585368,-0.21518625,0.016800000000000006,0.107,0.10266666666666667,0.79
2020-03-25,139.56027221679688,1,0.24419999999999997,0.025,0.2050134241580963,-0.14246136,0.24419999999999997,0.10225,0.0,0.89775
2020-03-26,148.2899627685547,0,0.15445,-0.05,0.43481507897377014,-0.16075343,0.15445,0.1005,0.0,0.8995
2020-03-27,142.2010040283203,1,0.08895,0.0,0.3193325400352478,-0.16194165,0.08895,0.0875,0.0,0.9125
2020-03-30,152.2034912109375,1,0.33941999999999994,0.0,-0.18792544603347777,-0.120679095,0.33941999999999994,0.1796,0.030199999999999998,0.7902
2020-03-31,149.80978393554688,1,0.10846,0.03888888888888888,-0.04933822154998779,-0.16724518,0.10846,0.13540000000000002,0.06860000000000001,0.796
2020-04-01,144.49029541015625,1,0.31856666666666666,0.0,0.0,-0.028562307,0.31856666666666666,0.14866666666666667,0.0,0.8513333333333333
2020-04-02,147.4824981689453,1,0.0,0.0,0.0,-0.13489746,0.0,0.0,0.0,1.0
2020-04-03,146.12416076660156,1,0.07676000000000001,0.0125,0.2848554849624634,-0.06440514,0.07676000000000001,0.08720000000000001,0.0776,0.8352
