date,close,high,low,open,volume,ticker,date_only,daily_return,headline_count,news_volume_log
2020-01-02,152.15841674804688,152.2626224460996,149.98906197669726,150.41535275784207,22622100,MSFT,2020-01-02,,0,0.0
2020-01-03,150.2637939453125,151.5237304428571,149.7332974105456,149.9796096980777,21116200,MSFT,2020-01-03,-0.012451646403968564,3,1.3862943611198906
2020-01-06,150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700,MSFT,2020-01-06,0.0025845660423036154,1,0.6931471805599453
2020-01-07,149.27854919433594,151.25844269298102,149.03225142604057,150.92688967276914,21634100,MSFT,2020-01-07,-0.009117768004910265,1,0.6931471805599453
2020-01-08,151.65628051757812,152.32888330245382,149.62901863258827,150.55738711507612,27746500,MSFT,2020-01-08,0.015928151339056562,2,1.0986122886681096
2020-01-09,153.55093383789062,153.67408993395057,152.54677800677655,153.3141040869697,21385000,MSFT,2020-01-09,0.01249307522145715,2,1.0986122886681096
2020-01-10,152.84046936035156,154.6214340015497,152.68889482600636,154.24251212062987,20725900,MSFT,2020-01-10,-0.004626897797242457,1,0.6931471805599453
2020-01-13,154.67828369140625,154.70670211208954,152.76469478737948,153.23835440536027,21626500,MSFT,2020-01-13,0.012024396017272565,3,1.3862943611198906
2020-01-14,153.58888244628906,154.98144297107078,153.20047806483123,154.78249955826826,23477400,MSFT,2020-01-14,-0.007043013531819464,4,1.6094379124341003
2020-01-15,154.58355712890625,155.30352905130025,154.00570623006226,154.05306063131832,21417900,MSFT,2020-01-15,0.006476215379489059,2,1.0986122886681096
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400,MSFT,2020-01-16,0.01832305640982712,4,1.6094379124341003
2020-01-17,158.29705810546875,158.64756161489345,156.71502218116595,158.60019275971428,34371700,MSFT,2020-01-17,0.005597002447071064,5,1.791759469228055
2020-01-21,157.72862243652344,159.32959395002115,157.66230316439436,157.89913292781256,29517200,MSFT,2020-01-21,-0.003590942723436963,5,1.791759469228055
2020-01-22,156.97080993652344,158.66651963033502,156.95185950255714,158.58124990495958,24138800,MSFT,2020-01-22,-0.0048045338144316885,2,1.0986122886681096
2020-01-23,157.93707275390625,158.01286003149272,156.5634626781463,157.4349946879729,19680800,MSFT,2020-01-23,0.006155684727457089,4,1.6094379124341003
2020-01-24,156.3455352783203,158.7043650014878,155.7866204878923,158.6854145724222,24918100,MSFT,2020-01-24,-0.010077035415654634,6,1.9459101490553132
2020-01-27,153.73097229003906,154.77302928468092,151.76054644422686,152.66049687326566,32078100,MSFT,2020-01-27,-0.016722978264949506,5,1.791759469228055
2020-01-28,156.7434539794922,157.02763819872118,154.47936148498258,155.1519500770846,24899900,MSFT,2020-01-28,0.01959580196871169,5,1.791759469228055
2020-01-29,159.18748474121094,159.86008761817865,156.96129367549298,158.99802382465174,34754500,MSFT,2020-01-29,0.015592553945114052,10,2.3978952727983707
