date,close,high,low,open,volume,ticker,date_only,daily_return,headline_count,news_volume_log,SMA_20,SMA_50,EMA_12,RSI,MACD,MACD_sig,MACD_hist,BB_upper,BB_lower,BB_pct,ATR,OBV,OBV_zscore,sent_daily,sent_volume,sent_sma5,sent_sma20,sent_ewma5,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_momentum,sent_zscore,sent_divergence,lm_score,vader_score,target
2020-01-02,72.40050506591797,72.46076851156026,71.15666666509587,71.40977019424241,135480400,AAPL,2020-01-02,0.0,14,2.70805020110221,0.0,0.0,72.40050506591797,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,0.272347629070282,2.70805020110221,0.272347629070282,0.0,0.272347629070282,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0059523809523809,0.2608999999999999,1.0
2020-01-03,71.69662475585938,72.45594269937853,71.47244650368873,71.62912999102163,146322800,AAPL,2020-01-03,-0.0097220359086961,8,2.19722457733622,0.0,0.0,72.29221578744742,0.0,-0.0561499962439882,-0.01122999924879764,-0.04491999699519056,,,0.0,0.0,-146322800,0.0,-0.018850915133953,2.19722457733622,0.1267483569681645,0.0,0.17528144766887033,0.272347629070282,0.0,0.0,0.0,0.0,0.0,0,0.0143939393939393,0.0871,1.0
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200,AAPL,2020-01-06,0.0079682508603424,7,2.079441541679836,0.0,0.0,72.28847819672534,0.0,-0.05392874726699404,-0.019769748852436923,-0.034158998414557114,,,0.0,0.0,-27935600,0.0,-0.0434875743729727,2.079441541679836,0.07000304652111876,0.0,0.10235844032158933,-0.018850915133953,0.272347629070282,0.0,0.0,0.0,0.0,1,-0.0079365079365079,-0.0722714285714285,1.0
2020-01-07,71.92804718017578,72.53308721808551,71.70868733859578,72.27757077764687,108872000,AAPL,2020-01-07,-0.0047029755494467,4,1.6094379124341005,0.0,0.0,72.23302727110233,0.0,-0.07868635705173688,-0.031553070492296914,-0.04713328655943996,,,0.0,0.0,-136807600,0.0,0.2301957309246063,1.6094379124341005,0.11005121762199065,0.0,0.144970870522595,-0.0434875743729727,-0.018850915133953,0.272347629070282,0.0,0.0,0.0,1,0.0,0.092,1.0
2020-01-08,73.08511352539062,73.38643082203993,71.63155918060959,71.63155918060959,132079200,AAPL,2020-01-08,0.016086441806441,5,1.791759469228055,0.0,0.0,72.36411746406976,0.0,-0.004885045361092466,-0.026219465466056024,0.02133442010496356,,,0.0,0.0,-4728400,0.0,0.0,1.791759469228055,0.08804097409759251,0.08804097409759251,0.09664724701506335,0.2301957309246063,-0.0434875743729727,-0.018850915133953,0.0,0.0,-0.5848195861168434,0,0.02,0.07832,1.0
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400,AAPL,2020-01-09,0.0212407609151792,13,2.639057329615259,0.0,0.0,72.71386815394244,0.0,0.1768290194144555,0.01439023151004628,0.16243878790440922,,,0.0,0.0,165380000,0.0,0.1277988232099093,2.639057329615259,0.05913121292551797,0.09466728228297865,0.10703110574667866,0.0,0.2301957309246063,-0.0434875743729727,0.272347629070282,-0.1445488058603727,0.24428745855441727,0,0.0148151848151848,0.1321,1.0
2020-01-10,74.80622100830078,75.37029336253585,74.30483235122053,74.87131024106992,140644800,AAPL,2020-01-10,0.0022605803645263,6,1.9459101490553128,0.0,0.0,73.0357685930745,0.0,0.3306419123411217,0.07764056767626137,0.25300134466486035,,,0.0,0.0,306024800,0.0,0.3060296475887298,1.9459101490553128,0.12410732547005454,0.12486190589808596,0.1733639530273624,0.1277988232099093,0.0,0.2301957309246063,-0.018850915133953,0.3248805627226828,1.2295491080703147,0,0.0,0.3726,1.0
2020-01-13,76.40440368652344,76.43092342751396,75.00388181987825,75.12200317385458,121532000,AAPL,2020-01-13,0.021364301747649,14,2.70805020110221,0.0,0.0,73.5540201459128,0.0,0.5748729462320199,0.1770870433874131,0.3977859028446068,,,0.0,0.0,427556800,0.0,0.2127914684159415,2.70805020110221,0.17536313402783738,0.1358531012128179,0.18650645815688877,0.3060296475887298,0.1277988232099093,0.0,-0.0434875743729727,0.25627904278891417,0.5499041562715966,0,0.0163836163836163,0.0427428571428571,0.0
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400,AAPL,2020-01-14,-0.0135030502837991,6,1.9459101490553128,0.0,0.0,73.83381876679401,0.0,0.6773705314125067,0.27714374099243183,0.40022679042007486,,,0.0,0.0,265602400,0.0,-0.0209508836269378,1.9459101490553128,0.12513381111752855,0.11843043623062283,0.11735401089561326,0.2127914684159415,0.3060296475887298,0.1277988232099093,0.2301957309246063,-0.2511466145515441,-0.9890308184218444,0,0.0072463768115942,0.1163166666666666,1.0
2020-01-15,75.04967498779297,76.052459488537,74.6181867077714,75.17261475653767,121923600,AAPL,2020-01-15,-0.0042858507911327,9,2.302585092994046,0.0,0.0,74.02087357002462,0.0,0.7241863159459712,0.3665522559831397,0.3576340599628315,,,0.0,0.0,143678800,0.0,0.1274913152058919,2.302585092994046,0.1506320741587069,0.11933652412814973,0.12073311233237281,-0.0209508836269378,0.2127914684159415,0.3060296475887298,0.0,0.1274913152058919,0.061361135867898535,1,0.0148148148148148,0.1708777777777778,1.0
2020-01-16,75.98982238769531,76.10071246852102,75.23050414086309,75.59208495900991,108829200,AAPL,2020-01-16,0.012527001616666,7,2.079441541679836,0.0,0.0,74.32378877274319,0.0,0.8276100272855302,0.4587638102436178,0.36884621704191245,,,0.0,0.0,252508000,0.0,0.1173117160797119,2.079441541679836,0.14853465273266747,0.11915245066920083,0.11959264691481918,0.1274913152058919,-0.0209508836269378,0.2127914684159415,0.1277988232099093,-0.01048710713019739,-0.014599748627286198,0,0.0204081632653061,0.1028714285714285,1.0
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400,AAPL,2020-01-17,0.0110706297442866,8,2.19722457733622,0.0,0.0,74.70952551165709,0.0,0.9663172232197326,0.5602744928388408,0.4060427303808918,,,0.0,0.0,390324400,0.0,0.2117722406983375,2.19722457733622,0.129683171354589,0.12687076650496223,0.15031917817599194,0.1173117160797119,0.1274913152058919,-0.0209508836269378,0.3060296475887298,-0.0942574068903923,0.6894155992216955,0,0.0,0.0349624999999999,0.0
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200,AAPL,2020-01-21,-0.0067767893697997,14,2.70805020110221,0.0,0.0,74.95581536307884,0.0,1.0224440185332497,0.6527083979777226,0.3697356205555271,,,0.0,0.0,279481200,0.0,0.21053204366139,2.70805020110221,0.1292312864036787,0.13330624936314897,0.1703901333377913,0.2117722406983375,0.1173117160797119,0.1274913152058919,0.2127914684159415,-0.0022594247545514867,0.6426456962579162,1,-0.0114285714285714,0.1346428571428571,1.0
2020-01-22,76.58280181884766,77.13480977194556,76.48878729766383,76.79492300181599,101832400,AAPL,2020-01-22,0.0035695296954916,11,2.4849066497880004,0.0,0.0,75.20612097165866,0.0,1.0764955179055136,0.7374658219632808,0.33902969594223276,,,0.0,1.2343693350812504,381313600,0.0,0.1645711172710765,2.4849066497880004,0.16633568658328154,0.13553945421371522,0.16845046131555305,0.21053204366139,0.2117722406983375,0.1173117160797119,-0.0209508836269378,0.18552200089801432,0.2508001189933536,0,0.0303030303030303,0.0737545454545454,1.0
2020-01-23,76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000,AAPL,2020-01-23,0.0048158666472866,16,2.833213344056216,0.0,0.0,75.47465841907776,71.90263195964637,1.1359967485742573,0.8171720072854761,0.31882474128878113,,,0.0,1.2085421552218776,485785600,0.0,0.127847634255886,2.833213344056216,0.1664069503932804,0.13502666621652662,0.15491618562899737,0.1645711172710765,0.21053204366139,0.2117722406983375,0.1274913152058919,0.00035631904999408603,-0.06434950737074009,0,-0.0041208791208791,0.19049375,1.0
2020-01-24,76.72982025146484,77.9399074546243,76.53938572501609,77.19746512519868,146537600,AAPL,2020-01-24,-0.0028822543907012,10,2.3978952727983707,0.0,0.0,75.667760239445,75.40138290261694,1.1519757110925184,0.8841327480468846,0.2678429630456338,,,0.0,1.2383296933589076,339248000,0.0,0.1625723004341125,2.3978952727983707,0.1754590672641605,0.13674826835512574,0.1574682238973691,0.127847634255886,0.1645711172710765,0.21053204366139,0.1173117160797119,0.0452605843544006,0.2391114334636752,1,0.0066666666666666,0.15106,0.0
2020-01-27,74.47357940673828,75.15334557711078,73.49248860994267,74.74114561147599,161940000,AAPL,2020-01-27,-0.0294050062587432,9,2.302585092994046,0.0,0.0,75.48404011133627,59.513486049300326,0.9713818882885477,0.9015825760952173,0.06979931219333035,,,0.0,1.3454251162117663,177308000,0.0,0.0254929992887708,2.302585092994046,0.13820321898224713,0.13020384076298722,0.11347648236116967,0.1625723004341125,0.127847634255886,0.1645711172710765,0.2117722406983375,-0.1862792414095667,-0.9695822468679657,1,0.0496632996632996,0.1220888888888888,0.0
