date,close,target,ticker,sent_daily,sent_volume,sent_sma5,sent_sma20,sent_ewma5,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_momentum,sent_zscore,sent_divergence,lm_score,vader_score
2020-01-02,72.4005126953125,1.0,AAPL,0.2932974466910729,2.639057329615259,0.2932974466910729,0.0,0.2932974466910729,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0064102564102564,0.2293923076923077
2020-01-03,71.69662475585938,1.0,AAPL,-0.018850915133953,2.19722457733622,0.13722326577855995,0.0,0.1892479927493976,0.2932974466910729,0.0,0.0,0.0,0.0,0.0,0,0.0143939393939393,0.0871
2020-01-06,72.26793670654297,1.0,AAPL,-0.0434875743729727,2.079441541679836,0.07698631906138238,0.0,0.11166947037527418,-0.018850915133953,0.2932974466910729,0.0,0.0,0.0,0.0,1,-0.0079365079365079,-0.0722714285714285
2020-01-07,71.92804718017578,1.0,AAPL,0.2301957309246063,1.6094379124341005,0.11528867202718837,0.0,0.1511782238917182,-0.0434875743729727,-0.018850915133953,0.2932974466910729,0.0,0.0,0.0,1,0.0,0.092
2020-01-08,73.08512115478516,1.0,AAPL,0.1541419923305511,1.9459101490553128,0.1230593360878609,0.1230593360878609,0.1521661467046625,0.2301957309246063,-0.0434875743729727,-0.018850915133953,0.0,0.0,0.20802625305782066,0,0.0252136752136752,0.1629166666666666
2020-01-09,74.63751220703125,1.0,AAPL,0.2601042278110981,2.833213344056216,0.11642069231186596,0.1459001513750671,0.18814550707347438,0.1541419923305511,0.2301957309246063,-0.0434875743729727,0.2932974466910729,-0.033193218879974784,0.7882600732315339,0,0.0171312021312021,0.1635625
2020-01-10,74.80622100830078,1.0,AAPL,0.1235504831586565,2.079441541679836,0.14490097197038784,0.1427073416298656,0.16661383243520175,0.2601042278110981,0.1541419923305511,0.2301957309246063,-0.018850915133953,0.1424013982926095,-0.1445502338291416,0,-0.0032467532467532,0.2939571428571428
2020-01-13,76.40442657470703,0.0,AAPL,0.2725820024808248,2.772588722239781,0.20811488734114736,0.1589416742362355,0.20193655578374278,0.1235504831586565,0.2601042278110981,0.1541419923305511,-0.0434875743729727,0.3160695768537975,0.8674365604667112,0,0.0165081369248035,0.0983
2020-01-14,75.37271881103516,1.0,AAPL,-0.0209508836269378,1.9459101490553128,0.15788556443083854,0.13895361225143846,0.12764074264684927,0.2725820024808248,0.1235504831586565,0.2601042278110981,0.2301957309246063,-0.2511466145515441,-1.1720607985461136,0,0.0072463768115942,0.1163166666666666
2020-01-15,75.04969024658203,1.0,AAPL,0.1434277296066284,2.19722457733622,0.15574271188605399,0.13940102398695747,0.1329030716334423,-0.0209508836269378,0.2725820024808248,0.1235504831586565,0.1541419923305511,-0.010714262723922702,0.03130324332929076,1,0.0166666666666666,0.1173125
2020-01-16,75.98980712890625,1.0,AAPL,0.1026477515697479,2.19722457733622,0.12425141663778397,0.13605981740357478,0.12281796494554417,0.1434277296066284,-0.0209508836269378,0.2725820024808248,0.2601042278110981,-0.1574564762413502,-0.27267059587501935,0,0.0217633928571428,0.039775
2020-01-17,76.83109283447266,0.0,AAPL,0.2813623878690932,2.302585092994046,0.1558137975798713,0.14816836494236796,0.17566610592006052,0.1026477515697479,0.1434277296066284,-0.0209508836269378,0.1235504831586565,0.15781190471043668,1.0729753484548803,0,0.0,0.0310777777777777
2020-01-21,76.31041717529297,1.0,AAPL,0.1185762145939995,2.8903717578961645,0.12501264000250623,0.14589204568480116,0.15663614214470686,0.2813623878690932,0.1026477515697479,0.1434277296066284,0.2725820024808248,-0.1540057878868253,-0.22928763690751758,1,-0.0110015898251192,0.0651
2020-01-22,76.58279418945312,1.0,AAPL,-0.0051784167687098,2.5649493574615367,0.1281671333741518,0.13510129836669324,0.10269795584023465,0.1185762145939995,0.2813623878690932,0.1026477515697479,-0.0209508836269378,0.015772466858228,-1.155781948117316,1,0.0253267973856209,0.1515916666666666
2020-01-23,76.95160675048828,1.0,AAPL,0.1128710707028706,2.9444389791664403,0.12205580159340028,0.13361928318910507,0.10608899412777997,-0.0051784167687098,0.1185762145939995,0.2813623878690932,0.1434277296066284,-0.03055665890375779,-0.17718693436124297,0,-0.0055148555148555,0.1773944444444444
2020-01-24,76.7298355102539,0.0,AAPL,0.1625723004341125,2.3978952727983707,0.1340407113662732,0.13542884676691802,0.1249167628965575,0.1128710707028706,-0.0051784167687098,0.1185762145939995,0.1026477515697479,0.0599245488643646,0.23944764424848777,1,0.0066666666666666,0.15106
2020-01-27,74.47357177734375,0.0,AAPL,0.0254929992887708,2.302585092994046,0.08286683365020872,0.12896203220937993,0.0917755083606286,0.1625723004341125,0.1128710707028706,-0.0051784167687098,0.2813623878690932,-0.2558693885803224,-0.9160507237411969,1,0.0496632996632996,0.1220888888888888
