date,close,target,ticker,SMA_20,SMA_50,EMA_12,RSI,MACD,MACD_sig,MACD_hist,BB_pct,ATR,OBV_zscore,daily_return
2020-01-02,152.1583709716797,1.0,MSFT,0.0,0.0,152.1583709716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,150.2637481689453,1.0,MSFT,0.0,0.0,151.86689054048978,0.0,-0.15113800135773658,-0.03022760027154732,-0.12091040108618926,0.0,0.0,0.0,-0.0124516501500072
2020-01-06,150.6521759033203,1.0,MSFT,0.0,0.0,151.68001136554065,0.0,-0.23684290678633602,-0.07155066157450507,-0.16529224521183095,0.0,0.0,0.0,0.0025849730165008
2020-01-07,149.278564453125,1.0,MSFT,0.0,0.0,151.31055799439977,0.0,-0.41086740243076747,-0.13941400974575757,-0.2714533926850099,0.0,0.0,0.0,-0.0091177670814182
2020-01-08,151.6563262939453,1.0,MSFT,0.0,0.0,151.36375311740676,0.0,-0.3528501236544912,-0.18210123252750432,-0.17074889112698688,0.0,0.0,0.0,0.0159283541446899
2020-01-09,153.55096435546875,1.0,MSFT,0.0,0.0,151.70024715403167,0.0,-0.1522346880967973,-0.17612792364136293,0.023893235544565627,0.0,0.0,0.0,0.0124929708362524
2020-01-10,152.84051513671875,1.0,MSFT,0.0,0.0,151.875672997522,0.0,-0.04999649605761647,-0.15090163812461363,0.10090514206699716,0.0,0.0,0.0,-0.0046267975048682
2020-01-13,154.6782684326172,1.0,MSFT,0.0,0.0,152.30684152599818,0.0,0.17727581471206122,-0.08526614755727867,0.2625419622693399,0.0,0.0,0.0,0.0120239930770615
2020-01-14,153.58885192871094,1.0,MSFT,0.0,0.0,152.5040738956463,0.0,0.2664129089953633,-0.014930336246750275,0.28134324524211357,0.0,0.0,0.0,-0.0070431128751666
2020-01-15,154.58348083496094,1.0,MSFT,0.0,0.0,152.82398265554085,0.0,0.41255723568175995,0.07056717813895177,0.3419900575428082,0.0,0.0,0.0,0.0064759186214351
2020-01-16,157.41603088378906,0.0,MSFT,0.0,0.0,153.53045161373285,0.0,0.7483146780270999,0.2061166781165814,0.5421979999105185,0.0,0.0,0.0,0.0183237564164586
2020-01-17,158.2970428466797,0.0,MSFT,0.0,0.0,154.2637733418785,0.0,1.0731248572117238,0.3795183139356099,0.6936065432761138,0.0,0.0,0.0,0.0055967105633671
2020-01-21,157.72866821289062,0.0,MSFT,0.0,0.0,154.79683409126497,0.0,1.2700359971001376,0.5576218505685155,0.712414146531622,0.0,0.0,0.0,-0.0035905574960081
2020-01-22,156.97079467773438,1.0,MSFT,0.0,0.0,155.1312895661064,0.0,1.349380613899399,0.7159736032346922,0.6334070106647067,0.0,2.1450049271075358,0.0,-0.0048049193830339
2020-01-23,157.93702697753906,1.0,MSFT,0.0,0.0,155.56294147555758,65.56133560152199,1.4732460029556194,0.8674280831788777,0.6058179197767417,0.0,2.0861361519536126,0.0,0.0061554909101937
2020-01-24,156.34552001953125,1.0,MSFT,0.0,0.0,155.68333817463045,66.64940077612962,1.4265445874411284,0.9792513840313279,0.4472932034098005,0.0,2.121323655735241,0.0,-0.0100768451101346
2020-01-27,153.73095703125,1.0,MSFT,0.0,0.0,155.38297184487962,57.512750799228805,1.1651291136857935,1.016426929962221,0.14870218372357247,0.0,2.2735680020551143,0.0,-0.016722979897055
2020-01-28,156.74342346191406,1.0,MSFT,0.0,0.0,155.59227209365415,66.8665157513027,1.1873493083328697,1.050611405636351,0.13673790269651875,0.0,2.3500293663457064,0.0,0.0195957046572714
2020-01-29,159.18748474121094,1.0,MSFT,0.0,0.0,156.1453817317398,66.96548756158025,1.3861950978341042,1.1177281440759015,0.26846695375820273,0.0,2.354765032599151,0.0,0.0155927516786102
2020-01-30,163.67779541015625,1.0,MSFT,155.06430053710938,0.0,157.30421460534234,70.42424645291854,1.8843902843069884,1.2710605721221189,0.6133297121848695,1.108122881295797,2.617309018985858,2.388699717178992,0.0282076865291587
2020-01-31,161.26214599609375,1.0,MSFT,155.51948928833008,0.0,157.9131271269964,65.89202910736046,2.0605382374381804,1.4289561051853312,0.6315821322528492,0.8851026775496208,2.6957991166837547,1.161334553864917,-0.0147585651921152
2020-02-03,165.1934814453125,1.0,MSFT,156.26597595214844,0.0,159.03318163750657,68.38968165736497,2.4886747808554617,1.6408998403193575,0.8477749405361041,1.0447946536809762,2.846013542637124,1.8160712288641303,0.0243785385896699
2020-02-04,170.63113403320312,1.0,MSFT,157.2649238586426,0.0,160.81748200607527,75.87007368995,3.229521284494382,1.9586241291543625,1.2708971553400195,1.169180481094623,3.1423919768856314,2.3088807967633387,0.0329168714183845
2020-02-05,170.42269897460938,1.0,MSFT,158.3221305847168,0.0,162.29520769354207,74.63175953851594,3.7565256198849966,2.3182044273004894,1.4383211925845072,1.056846090154187,3.4117041706431053,1.22679753995571,-0.0012215534976939
