date,close,target,ticker,sent_daily,sent_volume,sent_sma5,sent_sma20,sent_ewma5,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_momentum,sent_zscore,sent_divergence,lm_score,vader_score
2020-01-02,152.15841674804688,1.0,MSFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-01-03,150.2637939453125,1.0,MSFT,0.5013618667920431,1.3862943611198906,0.25068093339602154,0.0,0.16712062226401436,0.0,0.0,0.0,0.0,0.0,0.0,1,0.037037037037037,0.4625000000000001
2020-01-06,150.65216064453125,1.0,MSFT,0.8694716095924377,0.6931471805599453,0.4569444921281603,0.0,0.40123761804015545,0.5013618667920431,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8176
2020-01-07,149.27854919433594,1.0,MSFT,0.9331955909729004,0.6931471805599453,0.5760072668393453,0.0,0.5785569423510705,0.8694716095924377,0.5013618667920431,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.0
2020-01-08,151.65628051757812,1.0,MSFT,0.9131510555744172,1.0986122886681096,0.6434360245863597,0.6434360245863597,0.6900883134255194,0.9331955909729004,0.8694716095924377,0.5013618667920431,0.0,0.0,0.6732396780900419,0,0.0,0.8309
2020-01-09,153.55093383789062,1.0,MSFT,0.3364055752754211,1.0986122886681096,0.7107171396414439,0.5922642830345366,0.5721940673754866,0.9131510555744172,0.9331955909729004,0.8694716095924377,0.0,0.3364055752754211,-0.6739893843196786,0,0.0,0.1909
2020-01-10,152.84046936035156,1.0,MSFT,0.0,0.6931471805599453,0.6104447662830352,0.5076550997438886,0.3814627115836578,0.3364055752754211,0.9131510555744172,0.9331955909729004,0.5013618667920431,-0.5013618667920431,-1.2305110428031403,0,0.0,0.3818
2020-01-13,154.67828369140625,1.0,MSFT,0.3126706480979919,1.3862943611198906,0.49908457398414613,0.48328204328815144,0.3585320237551025,0.0,0.3364055752754211,0.9131510555744172,0.8694716095924377,-0.5568009614944458,-0.4395793635882711,0,0.0196078431372549,0.2546
2020-01-14,153.58888244628906,1.0,MSFT,-0.6372317224740982,1.6094379124341005,0.1849991112947464,0.3587805137590126,0.026610775012035653,0.3126706480979919,0.0,0.3364055752754211,0.9331955909729004,-1.5704273134469986,-1.9121719570696702,0,-0.0833333333333333,-0.1268
2020-01-15,154.58355712890625,1.0,MSFT,-0.4810896813869476,1.0986122886681096,-0.09384903609752657,0.27479349424441657,-0.1426227104542921,-0.6372317224740982,0.3126706480979919,0.0,0.9131510555744172,-1.3942407369613647,-1.3538816551650974,1,-0.03125,0.1366
