date,close,high,low,open,volume,ticker,date_only,daily_return,headline_count,news_volume_log,SMA_20,SMA_50,EMA_12,RSI,MACD,MACD_sig,MACD_hist,BB_upper,BB_lower,BB_pct,ATR,OBV,OBV_zscore,sent_daily,sent_volume,sent_sma5,sent_sma20,sent_ewma5,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_momentum,sent_zscore,sent_divergence,lm_score,vader_score,target
2020-01-02,152.15838623046875,152.2625919076215,149.9890318942147,150.4153225898607,22622100,MSFT,2020-01-02,0.0,0,0.0,0.0,0.0,152.15838623046875,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
2020-01-03,150.2637939453125,151.5237304428571,149.7332974105456,149.9796096980777,21116200,MSFT,2020-01-03,-0.0124514483367783,3,1.3862943611198906,0.0,0.0,151.86691049429086,0.0,-0.15113556690707242,-0.030227113381414483,-0.12090845352565793,,,0.0,0.0,-21116200,0.0,0.5013618667920431,1.3862943611198906,0.25068093339602154,0.0,0.16712062226401436,0.0,0.0,0.0,0.0,0.0,0.0,1,0.037037037037037,0.4625000000000001,1.0
2020-01-06,150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700,MSFT,2020-01-06,0.0025845660423036,1,0.6931471805599453,0.0,0.0,151.68002590202016,0.0,-0.23684346164691306,-0.0715503830345142,-0.16529307861239884,,,0.0,0.0,-302500,0.0,0.8694716095924377,0.6931471805599453,0.4569444921281603,0.0,0.40123761804015545,0.5013618667920431,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8176,1.0
2020-01-07,149.27853393554688,151.2584272318134,149.03223619242732,150.92687424549183,21634100,MSFT,2020-01-07,-0.0091178692898105,1,0.6931471805599453,0.0,0.0,151.3105655994858,0.0,-0.4108715102464373,-0.13941460847689885,-0.27145690176953846,,,0.0,0.0,-21936600,0.0,0.9331955909729004,0.6931471805599453,0.5760072668393453,0.0,0.5785569423510705,0.8694716095924377,0.5013618667920431,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.0,1.0
2020-01-08,151.6563262939453,152.32892928184137,149.6290637970409,150.55743255975017,27746500,MSFT,2020-01-08,0.015928561834785,2,1.0986122886681096,0.0,0.0,151.36375955247956,0.0,-0.3528545338610627,-0.18210259355373165,-0.17075194030733104,,,0.0,0.0,5809900,0.0,0.9131510555744172,1.0986122886681096,0.6434360245863597,0.6434360245863597,0.6900883134255194,0.9331955909729004,0.8694716095924377,0.5013618667920431,0.0,0.0,0.6732396780900419,0,0.0,0.8309,1.0
2020-01-09,153.55093383789062,153.67408993395057,152.54677800677655,153.3141040869697,21385000,MSFT,2020-01-09,0.0124927696077321,2,1.0986122886681096,0.0,0.0,151.70024790408127,0.0,-0.15224171941122222,-0.17613041872522978,0.023888699314007555,,,0.0,0.0,27194900,0.0,0.3364055752754211,1.0986122886681096,0.7107171396414439,0.5922642830345366,0.5721940673754866,0.9131510555744172,0.9331955909729004,0.8694716095924377,0.0,0.3364055752754211,-0.6739893843196786,0,0.0,0.1909,1.0
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900,MSFT,2020-01-10,-0.0046269971700608,1,0.6931471805599453,0.0,0.0,151.8756642421553,0.0,-0.05000793526832581,-0.15090592203384898,0.10089798676552317,,,0.0,0.0,6469000,0.0,0.0,0.6931471805599453,0.6104447662830352,0.5076550997438886,0.3814627115836578,0.3364055752754211,0.9131510555744172,0.9331955909729004,0.5013618667920431,-0.5013618667920431,-1.2305110428031403,0,0.0,0.3818,1.0
2020-01-13,154.6782684326172,154.70668685049705,152.7646797173632,153.23833928861814,21626500,MSFT,2020-01-13,0.0120243972177251,4,1.6094379124341005,0.0,0.0,152.30683411761098,0.0,0.17726592128411767,-0.08527155337025566,0.2625374746543733,,,0.0,0.0,28095500,0.0,0.002840980887413,1.6094379124341005,0.4371186405420303,0.4445533348868291,0.25525546801824295,0.0,0.3364055752754211,0.9131510555744172,0.8694716095924377,-0.8666306287050247,-1.0477161989336334,0,0.0243212669683257,0.0515999999999999,1.0
2020-01-14,153.58883666992188,154.98139677965818,153.20043240422595,154.7824534261497,23477400,MSFT,2020-01-14,-0.0070432115237306,3,1.3862943611198906,0.0,0.0,152.50406527950494,0.0,0.26640312217102746,-0.01493661826199904,0.2813397404330265,,,0.0,0.0,4618100,0.0,-0.5476455092430115,1.3862943611198906,0.14095042049884793,0.33430901887240233,-0.012378191068841832,0.002840980887413,0.0,0.3364055752754211,0.9331955909729004,-1.4808411002159119,-1.7135536959574238,0,-0.1111111111111111,-0.0222666666666666,1.0
2020-01-15,154.58349609375,155.30346773187313,154.00564542306233,154.0529998056212,21417900,MSFT,2020-01-15,0.0064761179613967,2,1.0986122886681096,0.0,0.0,152.82397771246573,0.0,0.4125500783602547,0.07056072106245172,0.341989357297803,,,0.0,0.0,26036000,0.0,-0.4810896813869476,1.0986122886681096,-0.137897726893425,0.25276914884646734,-0.1686153545082104,-0.5476455092430115,0.002840980887413,0.0,0.9131510555744172,-1.3942407369613647,-1.3354762274263374,1,-0.03125,0.1366,1.0
