date,close,target,ticker,SMA_20,SMA_50,EMA_12,RSI,MACD,MACD_sig,MACD_hist,BB_pct,ATR,OBV_zscore,daily_return,sent_daily,sent_volume,sent_sma5,sent_sma20,sent_ewma5,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_momentum,sent_zscore,sent_divergence,lm_score,vader_score
2020-01-02,72.4005126953125,1.0,AAPL,0.0,0.0,72.4005126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932974466910729,2.639057329615259,0.2932974466910729,0.0,0.2932974466910729,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0064102564102564,0.2293923076923077
2020-01-03,71.69662475585938,1.0,AAPL,0.0,0.0,72.29222224308894,0.0,-0.05615060485665424,-0.011230120971330849,-0.044920483885323395,0.0,0.0,0.0,-0.0097221402618423,-0.018850915133953,2.19722457733622,0.13722326577855995,0.0,0.1892479927493976,0.2932974466910729,0.0,0.0,0.0,0.0,0.0,0,0.0143939393939393,0.0871
2020-01-06,72.26793670654297,1.0,AAPL,0.0,0.0,72.28848600669725,0.0,-0.05392860855185688,-0.01976981848743606,-0.034158790064420824,0.0,0.0,0.0,0.0079684636847134,-0.0434875743729727,2.079441541679836,0.07698631906138238,0.0,0.11166947037527418,-0.018850915133953,0.2932974466910729,0.0,0.0,0.0,0.0,1,-0.0079365079365079,-0.0722714285714285
2020-01-07,71.92804718017578,1.0,AAPL,0.0,0.0,72.2330338795401,0.0,-0.07868685162951294,-0.03155322511585144,-0.04713362651366151,0.0,0.0,0.0,-0.004703185698346,0.2301957309246063,1.6094379124341005,0.11528867202718837,0.0,0.1511782238917182,-0.0434875743729727,-0.018850915133953,0.2932974466910729,0.0,0.0,0.0,1,0.0,0.092
2020-01-08,73.08512115478516,1.0,AAPL,0.0,0.0,72.36412422957781,0.0,-0.004885421859611938,-0.02621966446460354,0.021334242604991602,0.0,0.0,0.0,0.0160865478762541,0.1541419923305511,1.9459101490553128,0.1230593360878609,0.1230593360878609,0.1521661467046625,0.2301957309246063,-0.0434875743729727,-0.018850915133953,0.0,0.0,0.20802625305782066,0,0.0252136752136752,0.1629166666666666
2020-01-09,74.63751220703125,1.0,AAPL,0.0,0.0,72.71387622610911,0.0,0.17682934833140962,0.014390138094599093,0.16243921023681052,0.0,0.0,0.0,0.0212408630883751,0.2601042278110981,2.833213344056216,0.11642069231186596,0.1459001513750671,0.18814550707347438,0.1541419923305511,0.2301957309246063,-0.0434875743729727,0.2932974466910729,-0.033193218879974784,0.7882600732315339,0,0.0171312021312021,0.1635625
2020-01-10,74.80622100830078,1.0,AAPL,0.0,0.0,73.03577542336937,0.0,0.3306415729603458,0.07764042506774844,0.25300114789259737,0.0,0.0,0.0,0.0022603754637688,0.1235504831586565,2.079441541679836,0.14490097197038784,0.1427073416298656,0.16661383243520175,0.2601042278110981,0.1541419923305511,0.2301957309246063,-0.018850915133953,0.1424013982926095,-0.1445502338291416,0,-0.0032467532467532,0.2939571428571428
2020-01-13,76.40442657470703,0.0,AAPL,0.0,0.0,73.5540294466521,0.0,0.5748739129617348,0.17708712264654575,0.3977867903151891,0.0,0.0,0.0,0.0213646077139615,0.2725820024808248,2.772588722239781,0.20811488734114736,0.1589416742362355,0.20193655578374278,0.1235504831586565,0.2601042278110981,0.1541419923305511,-0.0434875743729727,0.3160695768537975,0.8674365604667112,0,0.0165081369248035,0.0983
2020-01-14,75.37271881103516,1.0,AAPL,0.0,0.0,73.83382781040333,0.0,0.677371293205951,0.2771439567584268,0.40022733644752423,0.0,0.0,0.0,-0.0135032459495404,-0.0209508836269378,1.9459101490553128,0.15788556443083854,0.13895361225143846,0.12764074264684927,0.2725820024808248,0.1235504831586565,0.2601042278110981,0.2301957309246063,-0.2511466145515441,-1.1720607985461136,0,0.0072463768115942,0.1163166666666666
2020-01-15,75.04969024658203,1.0,AAPL,0.0,0.0,74.02088356981544,0.0,0.7241875171080778,0.366552668828357,0.3576348482797208,0.0,0.0,0.0,-0.0042857491350813,0.1434277296066284,2.19722457733622,0.15574271188605399,0.13940102398695747,0.1329030716334423,-0.0209508836269378,0.2725820024808248,0.1235504831586565,0.1541419923305511,-0.010714262723922702,0.03130324332929076,1,0.0166666666666666,0.1173125
2020-01-16,75.98980712890625,1.0,AAPL,0.0,0.0,74.32379488659863,0.0,0.8276091245432013,0.4587639599713259,0.36884516457187544,0.0,0.0,0.0,0.012526592438095,0.1026477515697479,2.19722457733622,0.12425141663778397,0.13605981740357478,0.12281796494554417,0.1434277296066284,-0.0209508836269378,0.2725820024808248,0.2601042278110981,-0.1574564762413502,-0.27267059587501935,0,0.0217633928571428,0.039775
2020-01-17,76.83109283447266,0.0,AAPL,0.0,0.0,74.70953303242541,0.0,0.9663171168575957,0.5602745913485798,0.4060425255090159,0.0,0.0,0.0,0.0110710335682162,0.2813623878690932,2.302585092994046,0.1558137975798713,0.14816836494236796,0.17566610592006052,0.1026477515697479,0.1434277296066284,-0.0209508836269378,0.1235504831586565,0.15781190471043668,1.0729753484548803,0,0.0,0.0310777777777777
2020-01-21,76.31041717529297,1.0,AAPL,0.0,0.0,74.95582290055889,0.0,1.0224439287151341,0.6527084588218908,0.36973546989324335,0.0,0.0,0.0,-0.0067768873247898,0.1185762145939995,2.8903717578961645,0.12501264000250623,0.14589204568480116,0.15663614214470686,0.2813623878690932,0.1026477515697479,0.1434277296066284,0.2725820024808248,-0.1540057878868253,-0.22928763690751758,1,-0.0110015898251192,0.0651
2020-01-22,76.58279418945312,1.0,AAPL,0.0,0.0,75.20612617577339,0.0,1.0764942248474654,0.7374656120270058,0.3390286128204596,0.0,1.2343683403740175,0.0,0.0035693293817864,-0.0051784167687098,2.5649493574615367,0.1281671333741518,0.13510129836669324,0.10269795584023465,0.1185762145939995,0.2813623878690932,0.1026477515697479,-0.0209508836269378,0.015772466858228,-1.155781948117316,1,0.0253267973856209,0.1515916666666666
2020-01-23,76.95160675048828,1.0,AAPL,0.0,0.0,75.47466164880645,71.90242985410887,1.1359945275425645,0.8171713951301176,0.31882313241244686,0.0,1.2085411440239469,0.0,0.004815867127057,0.1128710707028706,2.9444389791664403,0.12205580159340028,0.13361928318910507,0.10608899412777997,-0.0051784167687098,0.1185762145939995,0.2813623878690932,0.1434277296066284,-0.03055665890375779,-0.17718693436124297,0,-0.0055148555148555,0.1773944444444444
2020-01-24,76.7298355102539,0.0,AAPL,0.0,0.0,75.66776531979836,75.40138166623927,1.1519746141648426,0.8841320389370626,0.26784257522778,0.0,1.2383287020547746,0.0,-0.002881957240392,0.1625723004341125,2.3978952727983707,0.1340407113662732,0.13542884676691802,0.1249167628965575,0.1128710707028706,-0.0051784167687098,0.1185762145939995,0.1026477515697479,0.0599245488643646,0.23944764424848777,1,0.0066666666666666,0.15106
2020-01-27,74.47357177734375,0.0,AAPL,0.0,0.0,75.48404323634381,59.51335602171081,0.9713798587317513,0.9015816028960004,0.06979825583575083,0.0,1.3454257263871068,0.0,-0.0294052987068978,0.0254929992887708,2.302585092994046,0.08286683365020872,0.12896203220937993,0.0917755083606286,0.1625723004341125,0.1128710707028706,-0.0051784167687098,0.2813623878690932,-0.2558693885803224,-0.9160507237411969,1,0.0496632996632996,0.1220888888888888
2020-01-28,76.58039855957031,1.0,AAPL,0.0,0.0,75.65271328607096,67.41247830553911,0.9868843394249609,0.9186421502017926,0.06824218922316827,0.0,1.4492523747631967,0.0,0.0282895896080479,0.2297056449784172,2.9444389791664403,0.10509271972709226,0.13455889958543757,0.13775222056655814,0.0254929992887708,0.1625723004341125,0.1128710707028706,0.1185762145939995,0.1111294303844177,0.8485997621151907,0,0.0156170759291934,0.1217166666666666
2020-01-29,78.18339538574219,0.0,AAPL,0.0,0.0,76.04204899371268,68.46509283652516,1.1156595700965966,0.9580456341807535,0.15761393591584305,0.0,1.4988399652579076,0.0,0.0209322079320981,0.2118283369961907,2.8903717578961645,0.14849407048007235,0.13862571208074037,0.16244425937643567,0.2297056449784172,0.0254929992887708,0.1625723004341125,-0.0051784167687098,0.2170067537649005,0.6630937514668964,0,0.0322467100972726,0.1458941176470588
2020-01-30,78.07012939453125,1.0,AAPL,75.21759300231933,0.0,76.35406136306939,63.87920599293454,1.1948023119781084,1.0053969697402245,0.18940534223788386,0.8536386232970286,1.4704277964101717,0.9657238788677512,-0.0014487218245268,-0.0792802969614664,2.5649493574615367,0.11006379694720496,0.12773041162863003,0.08186940726380165,0.2118283369961907,0.2297056449784172,0.0254929992887708,0.1128710707028706,-0.192151367664337,-1.7545859686104484,0,0.0306342999891387,0.09305
2020-01-31,74.60855865478516,1.0,AAPL,75.32799530029297,0.0,76.08552248487182,49.36885001490906,0.967056055729131,0.9977287869380058,-0.030672731208874815,0.40592867299162777,1.6625846276707392,-0.06665672224763446,-0.044339246861663,0.3554656282067299,2.19722457733622,0.14864246250172844,0.13083882070441288,0.17306814757811106,-0.0792802969614664,0.2118283369961907,0.2297056449784172,0.1625723004341125,0.1928933277726174,1.8221663322670787,1,0.0341810966810966,0.311675
2020-02-03,74.40367889404297,1.0,AAPL,75.46334800720214,0.0,75.82677731705199,42.987499318115454,0.7612581127314968,0.950434652096704,-0.18917653936520717,0.3467217990645659,1.7405809708339663,-1.087897860947072,-0.0027460624415781,-0.0583791595238905,2.639057329615259,0.13186803073919617,0.128862408484916,0.09591904521077724,0.3554656282067299,-0.0792802969614664,0.2118283369961907,0.0254929992887708,-0.0838721588126613,-1.4850348740527093,0,0.0059171597633136,0.0271923076923076
