date,action,price,shares,cost,proceeds
2020-09-14,BUY,139.8733367919922,71.42176078101492,9990.0,
2020-12-02,SELL,189.606674194336,,,13528.50048426491
2020-12-23,BUY,215.32666015625,62.764972874114235,13514.971983780646,
