date,strategy_value,buyhold_value,strategy_return,buyhold_return
2020-01-03,10000.0,10000.0,0.0,0.0
2020-01-06,10000.0,10025.845660423036,0.0,0.25845660423036154
2020-01-07,10000.0,9934.432325638261,0.0,-0.6556767436173838
2020-01-08,10000.0,10092.669467188643,0.0,0.9266946718864411
2020-01-09,10000.0,10218.757946027534,0.0,2.187579460275346
2020-01-10,10000.0,10171.476797396506,0.0,1.714767973965059
2020-01-13,10000.0,10293.782662488902,0.0,2.9378266248890172
2020-01-14,10000.0,10221.283411903383,0.0,2.212834119033835
2020-01-15,10000.0,10287.478644733668,0.0,2.8747864473366747
2020-01-16,10000.0,10475.976696256015,0.0,4.759766962560152
2020-01-17,10000.0,10534.61076346042,0.0,5.346107634604191
2020-01-21,10000.0,10496.781579595128,0.0,4.967815795951291
2020-01-22,10000.0,10446.349437553261,0.0,4.463494375532617
2020-01-23,10000.0,10510.653871243687,0.0,5.10653871243687
2020-01-24,10000.0,10404.737639941477,0.0,4.0473763994147705
2020-01-27,10000.0,10230.739438536233,0.0,2.307394385362338
2020-01-28,10000.0,10431.218982567278,0.0,4.312189825672785
2020-01-29,10000.0,10593.868327266258,0.0,5.938683272662582
2020-01-30,10000.0,10892.697859639744,0.0,8.92697859639744
2020-01-31,10000.0,10731.933221279958,0.0,7.31933221279959
2020-02-03,10000.0,10993.569251990924,0.0,9.935692519909246
2020-02-04,10000.0,11355.435915516415,0.0,13.554359155164143
2020-02-05,10000.0,11341.569716668522,0.0,13.415697166685225
2020-02-06,10000.0,11576.723389286906,0.0,15.76723389286907
2020-02-07,10000.0,11593.112007610313,0.0,15.931120076103134
2020-02-10,10000.0,11896.351712198843,0.0,18.963517121988428
2020-02-11,10000.0,11627.788167131208,0.0,16.277881671312077
2020-02-12,10000.0,11644.80942125705,0.0,16.448094212570496
2020-02-13,10000.0,11581.765181837605,0.0,15.817651818376044
2020-02-14,10000.0,11685.156962730745,0.0,16.85156962730745
2020-02-18,10000.0,11803.679198609867,0.0,18.036791986098667
2020-02-19,10000.0,11839.080401409956,0.0,18.390804014099558
2020-02-20,10000.0,11658.282634462019,0.0,16.582826344620184
2020-02-21,10000.0,11289.7311531397,0.0,12.897311531397015
2020-02-24,10000.0,10802.97019970576,0.0,8.029701997057593
2020-02-25,10000.0,10624.703991434335,0.0,6.247039914343344
2020-02-26,10000.0,10757.4569787345,0.0,7.574569787345009
