date,action,price,shares,cost,proceeds
2020-09-09,BUY,113.90216064453124,87.70685247294865,9990.0,
2020-09-28,SELL,111.61090087890624,,,9779.251776941366
2020-10-01,BUY,113.3875961303711,86.15997568139336,9769.472525164425,
