date,strategy_value,buyhold_value,strategy_return,buyhold_return
2020-01-03,10000.0,10000.0,0.0,0.0
2020-01-06,10000.0,10192.54637045135,0.0,1.925463704513497
2020-01-07,10000.0,10588.022517227424,0.0,5.880225172274245
2020-01-08,10000.0,11109.004320628308,0.0,11.090043206283084
2020-01-09,10000.0,10865.217088613888,0.0,8.652170886138876
2020-01-10,10000.0,10793.210061118594,0.0,7.932100611185944
2020-01-13,10000.0,11847.587514648687,0.0,18.475875146486874
2020-01-14,10000.0,12142.388927329202,0.0,21.42388927329202
2020-01-15,10000.0,11704.024238193959,0.0,17.040242381939596
2020-01-16,10000.0,11590.934365741037,0.0,15.909343657410368
2020-01-17,10000.0,11523.44158174959,0.0,15.234415817495893
2020-01-21,10000.0,12351.865325456289,0.0,23.51865325456288
2020-01-22,10000.0,12856.595206428798,0.0,28.56595206428798
2020-01-23,10000.0,12916.187095566727,0.0,29.16187095566727
2020-01-24,10000.0,12749.59923979881,0.0,27.4959923979881
2020-01-27,10000.0,12596.103336006576,0.0,25.961033360065766
2020-01-28,10000.0,12796.549955496923,0.0,27.96549955496923
2020-01-29,10000.0,13114.601982573082,0.0,31.146019825730818
2020-01-30,10000.0,14464.911024195957,0.0,44.64911024195957
2020-01-31,10000.0,14685.221606732277,0.0,46.85221606732277
2020-02-03,10000.0,17606.825794503624,0.0,76.06825794503624
2020-02-04,10000.0,20023.475357849053,0.0,100.23475357849053
2020-02-05,10000.0,16584.275372211967,0.0,65.84275372211967
2020-02-06,10000.0,16906.164829173664,0.0,69.06164829173665
2020-02-07,10000.0,16886.07483104523,0.0,68.86074831045228
2020-02-10,10000.0,17409.990569816357,0.0,74.09990569816355
2020-02-11,10000.0,17479.96586482766,0.0,74.7996586482766
2020-02-12,10000.0,17319.925276676626,0.0,73.19925276676626
2020-02-13,10000.0,18148.57376383673,0.0,81.48573763836733
2020-02-14,10000.0,18058.96054086191,0.0,80.58960540861911
2020-02-18,10000.0,19376.53711928749,0.0,93.76537119287491
2020-02-19,10000.0,20708.78660363689,0.0,107.08786603636891
2020-02-20,10000.0,20302.250237369128,0.0,103.02250237369125
