date,action,price,shares,cost,proceeds
2020-09-10,BUY,196.09849548339844,50.9437870768659,9990.0,
2020-09-14,SELL,196.13673400878903,,,9981.956067280336
2020-09-23,BUY,191.5343170166016,52.063641996586526,9971.974111213056,
2020-10-05,SELL,200.8823699951172,,,10448.209127056763
2020-10-06,BUY,196.6141815185547,53.08752826125456,10437.760917929707,
2020-10-12,SELL,211.4048309326172,,,11211.736976764356
2020-10-13,BUY,212.79893493652344,52.634310614048125,11200.525239787592,
2020-11-04,SELL,206.6210174560547,,,10864.479457360469
2020-11-23,BUY,201.14979553222656,53.95787228709477,10853.614977903108,
