date,strategy_value,buyhold_value,strategy_return,buyhold_return
2020-01-03,10000.0,10000.0,0.0,0.0
2020-01-06,10000.0,10079.679299280164,0.0,0.7967929928016426
2020-01-07,10000.0,10032.278001349732,0.0,0.32278001349732577
2020-01-08,10000.0,10193.660559246993,0.0,1.936605592469931
2020-01-09,10000.0,10410.1816434337,0.0,4.101816434337002
2020-01-10,10000.0,10433.713629120837,0.0,4.337136291208377
2020-01-13,10000.0,10656.626891928447,0.0,6.566268919284468
2020-01-14,10000.0,10512.725724140088,0.0,5.127257241400884
2020-01-15,10000.0,10467.67081439995,0.0,4.676708143999497
2020-01-16,10000.0,10598.798266162783,0.0,5.987982661627833
2020-01-17,10000.0,10716.134701623487,0.0,7.161347016234876
2020-01-21,10000.0,10643.512656981884,0.0,6.435126569818839
2020-01-22,10000.0,10681.50605559695,0.0,6.815060555969499
2020-01-23,10000.0,10732.945695106595,0.0,7.329456951065949
2020-01-24,10000.0,10702.01274349497,0.0,7.020127434949708
2020-01-27,10000.0,10387.318990250731,0.0,3.8731899025073124
2020-01-28,10000.0,10681.169793162422,0.0,6.8116979316242166
2020-01-29,10000.0,10904.752388474202,0.0,9.047523884742015
2020-01-30,10000.0,10888.949118173048,0.0,8.889491181730481
2020-01-31,10000.0,10406.147558341001,0.0,4.0614755834100125
2020-02-03,10000.0,10377.56737964944,0.0,3.7756737964943943
2020-02-04,10000.0,10720.169850837816,0.0,7.2016985083781515
2020-02-05,10000.0,10807.584250233735,0.0,8.075842502337348
2020-02-06,10000.0,10934.001899669931,0.0,9.340018996699317
2020-02-07,10000.0,10785.378160095395,0.0,7.853781600953957
2020-02-10,10000.0,10836.604975279392,0.0,8.366049752793913
2020-02-11,10000.0,10771.224278318032,0.0,7.712242783180323
2020-02-12,10000.0,11027.013578830449,0.0,10.27013578830449
2020-02-13,10000.0,10948.49310800345,0.0,9.484931080034498
2020-02-14,10000.0,10951.187463966182,0.0,9.51187463966181
2020-02-18,10000.0,10750.666512581854,0.0,7.506665125818546
2020-02-19,10000.0,10906.368789227514,0.0,9.06368789227514
2020-02-20,10000.0,10794.475335895313,0.0,7.944753358953127
2020-02-21,10000.0,10550.142368832645,0.0,5.501423688326446
2020-02-24,10000.0,10049.00918571072,0.0,0.49009185710719994
2020-02-25,10000.0,9708.624343995618,0.0,-2.913756560043823
2020-02-26,10000.0,9862.6399878605,0.0,-1.373600121394991
2020-02-27,10000.0,9217.93870701986,0.0,-7.8206129298013956
2020-02-28,10000.0,9212.544674486258,0.0,-7.8745532551374176
2020-03-02,10000.0,10070.241604559207,0.0,0.7024160455920692
2020-03-03,10000.0,9750.415592701913,0.0,-2.4958440729808684
2020-03-04,10000.0,10202.686438897817,0.0,2.026864388978167
2020-03-05,10000.0,9871.74142014693,0.0,-1.282585798530711
2020-03-06,10000.0,9740.643763789685,0.0,-2.5935623621031523
2020-03-09,10000.0,8970.239923247036,0.0,-10.297600767529635
2020-03-10,10000.0,9616.285189704155,0.0,-3.837148102958454
2020-03-11,10000.0,9282.30848843438,0.0,-7.176915115656191
2020-03-12,10000.0,8365.636873602143,0.0,-16.343631263978565
2020-03-13,10000.0,9367.908560454134,0.0,-6.320914395458654
2020-03-16,10000.0,8162.754636324728,0.0,-18.372453636752716
2020-03-17,10000.0,8521.672220317445,0.0,-14.783277796825555
2020-03-18,10000.0,8313.061816315156,0.0,-16.86938183684844
2020-03-19,10000.0,8249.36828419539,0.0,-17.50631715804609
2020-03-20,10000.0,7725.649651574656,0.0,-22.743503484253445
2020-03-23,10000.0,7561.525384302206,0.0,-24.384746156977943
2020-03-24,10000.0,8320.139289264653,0.0,-16.79860710735347
2020-03-25,10000.0,8274.305974553447,0.0,-17.256940254465537
2020-03-26,10000.0,8709.726454765998,0.0,-12.90273545234002
2020-03-27,10000.0,8349.12170593169,0.0,-16.50878294068311
2020-03-30,10000.0,8587.389711774144,0.0,-14.126102882258563
2020-03-31,10000.0,8569.865224739297,0.0,-14.301347752607029
2020-04-01,10000.0,8118.9436847680145,0.0,-18.810563152319858
2020-04-02,10000.0,8254.422329868767,0.0,-17.45577670131233
2020-04-03,10000.0,8135.794050751367,0.0,-18.64205949248633
2020-04-06,10000.0,8845.540830240463,0.0,-11.544591697595374
2020-04-07,10000.0,8743.087199872476,0.0,-12.569128001275242
2020-04-08,10000.0,8966.863465320595,0.0,-10.33136534679404
2020-04-09,10000.0,9031.572701534527,0.0,-9.68427298465473
2020-04-13,10000.0,9208.841531219945,0.0,-7.911584687800555
2020-04-14,10000.0,9673.912696482077,0.0,-3.2608730351792237
2020-04-15,10000.0,9585.617204377966,0.0,-4.143827956220337
2020-04-16,10000.0,9661.781709920018,0.0,-3.3821829007998128
2020-04-17,10000.0,9530.686181806032,0.0,-4.693138181939682
2020-04-20,10000.0,9332.858522262808,0.0,-6.67141477737192
2020-04-21,10000.0,9044.37621296564,0.0,-9.556237870343598
2020-04-22,10000.0,9304.889149385863,0.0,-6.951108506141368
2020-04-23,10000.0,9268.829259769327,0.0,-7.311707402306733
2020-04-24,10000.0,9536.414348530907,0.0,-4.6358565146909285
2020-04-27,10000.0,9543.155559045876,0.0,-4.5684444095412395
2020-04-28,10000.0,9388.46632619031,0.0,-6.115336738096899
2020-04-29,10000.0,9696.8338763546,0.0,-3.0316612364539974
2020-04-30,10000.0,9901.394233439767,0.0,-0.9860576656023246
2020-05-01,10000.0,9741.990941771051,0.0,-2.580090582289485
2020-05-04,10000.0,9879.827680400007,0.0,-1.2017231959999264
2020-05-05,10000.0,10028.11302929676,0.0,0.28113029296759073
2020-05-06,10000.0,10131.576511089957,0.0,1.3157651108995694
2020-05-07,10000.0,10236.388234986149,0.0,2.3638823498614903
2020-05-08,10000.0,10480.028458868826,0.0,4.800284588688264
2020-05-11,10000.0,10644.935387598855,0.0,6.4493538759885505
2020-05-12,10000.0,10523.283938935592,0.0,5.2328393893559255
2020-05-13,10000.0,10396.22568827919,0.0,3.9622568827919036
2020-05-14,10000.0,10460.092140163546,0.0,4.6009214016354605
2020-05-15,10000.0,10398.25177585938,0.0,3.9825177585937954
2020-05-18,10000.0,10643.244498331564,0.0,6.432444983315633
2020-05-19,10000.0,10581.746781191692,0.0,5.817467811916921
2020-05-20,10000.0,10787.540455244003,0.0,7.875404552440024
2020-05-21,10000.0,10707.114142580805,0.0,7.071141425808047
2020-05-22,10000.0,10776.051134023779,0.0,7.760511340237786
2020-05-26,10000.0,10703.060903298798,0.0,7.030609032987978
2020-05-27,10000.0,10749.691777170377,0.0,7.496917771703782
2020-05-28,10000.0,10754.42392605121,0.0,7.544239260512087
2020-05-29,10000.0,10743.94658449945,0.0,7.439465844994508
2020-06-01,10000.0,10876.077502957725,0.0,8.76077502957726
2020-06-02,10000.0,10926.428546041669,0.0,9.264285460416687
2020-06-03,10000.0,10986.580149321802,0.0,9.86580149321803
2020-06-04,10000.0,10891.960582380998,0.0,8.919605823809974
2020-06-05,10000.0,11202.173319448673,0.0,12.021733194486739
2020-06-08,10000.0,11268.40637783426,0.0,12.684063778342614
2020-06-09,10000.0,11624.24332971319,0.0,16.24243329713191
2020-06-10,10000.0,11923.303007995171,0.0,19.233030079951718
2020-06-11,10000.0,11350.859842199274,0.0,13.508598421992746
2020-06-12,10000.0,11448.857995309778,0.0,14.48857995309778
2020-06-15,10000.0,11590.445762678319,0.0,15.904457626783186
2020-06-16,10000.0,11897.620432497339,0.0,18.976204324973377
2020-06-17,10000.0,11881.060571718497,0.0,18.81060571718498
2020-06-18,10000.0,11885.791656477702,0.0,18.85791656477702
2020-06-19,10000.0,11817.871965311337,0.0,18.178719653113372
2020-06-22,10000.0,12127.072722710547,0.0,21.27072722710548
2020-06-23,10000.0,12385.91924466093,0.0,23.8591924466093
2020-06-24,10000.0,12167.28375079889,0.0,21.672837507988895
2020-06-25,10000.0,12328.81209335922,0.0,23.288120933592204
2020-06-26,10000.0,11949.998627283101,0.0,19.499986272831006
2020-06-29,10000.0,12225.407138255578,0.0,22.25407138255577
2020-06-30,10000.0,12327.45640240483,0.0,23.274564024048306
2020-07-01,10000.0,12304.145754016366,0.0,23.04145754016367
2020-07-02,10000.0,12304.145754016366,0.0,23.04145754016367
2020-07-06,10000.0,12633.281765999229,0.0,26.33281765999229
2020-07-07,10000.0,12594.079525214467,0.0,25.940795252144678
2020-07-08,10000.0,12887.397203190405,0.0,28.87397203190405
2020-07-09,10000.0,12942.819849954594,0.0,29.428198499545942
2020-07-10,10000.0,12965.45903759563,0.0,29.654590375956303
2020-07-13,10000.0,12905.645824993278,0.0,29.056458249932792
2020-07-14,10000.0,13119.21397166159,0.0,31.1921397166159
2020-07-15,10000.0,13209.442972764235,0.0,32.094429727642336
2020-07-16,10000.0,13046.899458170548,0.0,30.468994581705488
2020-07-17,10000.0,13020.540101317147,0.0,30.20540101317146
2020-07-20,10000.0,13294.93556849953,0.0,32.94935568499531
2020-07-21,10000.0,13111.437370802332,0.0,31.114373708023322
2020-07-22,10000.0,13148.273005085863,0.0,31.48273005085862
2020-07-23,10000.0,12549.813129600861,0.0,25.49813129600862
2020-07-24,10000.0,12518.723752109889,0.0,25.187237521098883
2020-07-27,10000.0,12815.422144498778,0.0,28.154221444987783
2020-07-28,10000.0,12604.892065079126,0.0,26.048920650791253
2020-07-29,10000.0,12846.510457868128,0.0,28.465104578681277
2020-07-30,10000.0,13001.956281201377,0.0,30.019562812013767
2020-07-31,10000.0,14363.111500153975,0.0,43.631115001539754
2020-08-03,10000.0,14725.027778895106,0.0,47.25027778895105
2020-08-04,10000.0,14823.365386805019,0.0,48.23365386805018
2020-08-05,10000.0,14877.096080180288,0.0,48.77096080180288
2020-08-06,10000.0,15396.142686792187,0.0,53.96142686792187
2020-08-07,10000.0,15046.098813057453,0.0,50.460988130574535
2020-08-10,10000.0,15264.79709009556,0.0,52.64797090095561
2020-08-11,10000.0,14810.821521051199,0.0,48.108215210511986
2020-08-12,10000.0,15303.051198509549,0.0,53.030511985095494
2020-08-13,10000.0,15573.874409385893,0.0,55.73874409385893
2020-08-14,10000.0,15559.995070988616,0.0,55.59995070988617
2020-08-17,10000.0,15519.371163708514,0.0,55.19371163708515
2020-08-18,10000.0,15648.689608703326,0.0,56.48689608703326
2020-08-19,10000.0,15668.32371686618,0.0,56.68323716866179
2020-08-20,10000.0,16016.00098409968,0.0,60.16000984099681
2020-08-21,10000.0,16841.344360187293,0.0,68.41344360187294
2020-08-24,10000.0,17042.768750834002,0.0,70.42768750834003
2020-08-25,10000.0,16902.957002463016,0.0,69.02957002463015
2020-08-26,10000.0,17132.82217186799,0.0,71.3282217186799
2020-08-27,10000.0,16928.006425592037,0.0,69.28006425592037
2020-08-28,10000.0,16900.585075353647,0.0,69.00585075353646
2020-08-31,10000.0,17473.72098432953,0.0,74.7372098432953
2020-09-01,10000.0,18169.74272305745,0.0,81.69742723057449
2020-09-02,10000.0,17793.29692760419,0.0,77.93296927604192
2020-09-03,10000.0,16368.74985501343,0.0,63.68749855013429
2020-09-04,10000.0,16379.58154906739,0.0,63.7958154906739
2020-09-08,10000.0,15277.320737538445,0.0,52.773207375384445
2020-09-09,9990.0,15886.680410861616,-0.10000000000000009,58.86680410861616
2020-09-10,9663.86757752363,15368.045619319855,-3.3613242247637065,53.680456193198545
2020-09-11,9536.990680928295,15166.278581508841,-4.630093190717055,51.662785815088405
2020-09-14,9823.102569402732,15621.270386708185,-1.7689743059726815,56.212703867081856
2020-09-15,9838.430123439788,15645.645156724897,-1.6156987656021138,56.45645156724897
2020-09-16,9548.061770666493,15183.884473848253,-4.519382293335072,51.83884473848253
2020-09-17,9395.638727626005,14941.492464635516,-6.043612723739955,49.41492464635515
2020-09-18,9097.609274434899,14467.548653237023,-9.02390725565101,44.675486532370236
2020-09-21,9373.501232200873,14906.288128808092,-6.264987677991263,49.062881288080916
2020-09-22,9520.813306161863,15140.552377024254,-4.791866938381373,51.405523770242546
2020-09-23,9121.451764520225,14505.464370973232,-8.785482354797747,45.05464370973231
2020-09-24,9215.118737651868,14654.41905237415,-7.848812623481316,46.544190523741506
2020-09-25,9560.833840163803,15204.19536336668,-4.391661598361973,52.04195363366679
2020-09-28,9779.251776941366,15567.103403465333,-2.207482230586333,55.671034034653324
2020-09-29,9779.251776941366,15449.294498001687,-2.207482230586333,54.492944980016865
2020-09-30,9779.251776941366,15682.20518350671,-2.207482230586333,56.8220518350671
2020-10-01,9769.472525164425,15814.910727644241,-2.3052747483557456,58.1491072764424
2020-10-02,9454.111579628983,15304.4015688558,-5.458884203710168,53.04401568855799
2020-10-05,9745.213080717696,15775.639318953647,-2.547869192823038,57.75639318953647
2020-10-06,9465.822899565655,15323.359959784713,-5.3417710043434425,53.233599597847125
2020-10-07,9626.432188340219,15583.35573309361,-3.735678116597807,55.83355733093609
2020-10-08,9617.229310078348,15568.458030298096,-3.827706899216521,55.684580302980955
2020-10-09,9784.529091349288,15839.284433539327,-2.154709086507123,58.39284433539327
2020-10-12,10406.048104158304,16845.4050483207,4.060481041583053,68.45405048320698
2020-10-13,10130.001854557562,16398.538875874685,1.3000185455756208,63.98538875874684
2020-10-14,10137.529808975769,16410.72519676141,1.3752980897576927,64.1072519676141
2020-10-15,10097.379623164581,16345.729711829477,0.9737962316458182,63.457297118294775
2020-10-16,9956.011580790246,16116.881842701116,-0.4398841920975394,61.16881842701116
2020-10-19,9701.716333961425,15705.226390812288,-2.982836660385746,57.05226390812288
2020-10-20,9829.701419297666,15912.409807711094,-1.7029858070233383,59.12409807711094
2020-10-21,9776.164332357697,15825.743485819834,-2.2383566764230256,58.257434858198344
2020-10-22,9682.476402258097,15674.080614875016,-3.175235977419033,56.74080614875017
2020-10-23,9623.085627395134,15577.938289884183,-3.7691437260486627,55.77938289884183
2020-10-26,9623.92177462007,15579.291852595321,-3.7607822537992996,55.792918525953205
2020-10-27,9753.57718236084,15789.17920255151,-2.464228176391603,57.89179202551509
2020-10-28,9301.870336588248,15057.952063874538,-6.981296634117518,50.57952063874538
2020-10-29,9646.507609920034,15615.854007620388,-3.534923900799658,56.15854007620389
2020-10-30,9106.129717397458,14741.08537426541,-8.938702826025423,47.410853742654105
2020-11-02,9098.600448282354,14728.896925135425,-9.013995517176465,47.28896925135424
2020-11-03,9238.29422416148,14955.034476476634,-7.617057758385204,49.55034476476634
2020-11-04,9615.556358280031,15565.749840754199,-3.8444364171996814,55.65749840754199
2020-11-05,9956.848385363628,16118.236469533878,-0.4315161463637196,61.18236469533878
2020-11-06,9945.537390631345,16099.926128676567,-0.544626093686551,60.99926128676567
2020-11-09,9746.943221830927,15778.440087079201,-2.530567781690729,57.78440087079202
2020-11-10,9717.617592901039,15730.967492999676,-2.823824070989611,57.30967492999677
2020-11-11,10012.571813239236,16208.4420599607,0.12571813239234952,62.08442059960699
2020-11-12,9989.109075110604,16170.460366683543,-0.10890924889396247,61.70460366683543
2020-11-13,9993.300328810437,16177.24520618527,-0.06699671189562828,61.77245206185269
2020-11-16,10080.446327162746,16318.317938685737,0.8044632716274647,63.18317938685738
2020-11-17,10004.190620536465,16194.874509200503,0.04190620536463907,61.94874509200503
2020-11-18,9890.233351065099,16010.39944784857,-1.097666489349014,60.10399447848569
2020-11-19,9941.34416488617,16093.138096809957,-0.5865583511382999,60.93138096809956
2020-11-20,9832.413638991127,15916.800373549257,-1.6758636100887236,59.16800373549256
2020-11-23,9539.972461766867,15443.393943573035,-4.600275382331331,54.43393943573036
2020-11-24,9650.58054089936,15622.447305229032,-3.4941945910063943,56.22447305229032
2020-11-25,9722.642364432018,15739.101638726028,-2.7735763556798188,57.39101638726027
2020-11-27,9769.568498037728,15815.066089401966,-2.304315019622716,58.15066089401966
2020-11-30,9975.701796179957,16148.756541953739,-0.2429820382004233,61.48756541953739
2020-12-01,10283.227805572313,16646.58243505506,2.8322780557231253,66.46582435055062
2020-12-02,10313.392868469375,16695.413912453863,3.133928684693754,66.95413912453863
2020-12-03,10301.663142776177,16676.425726119356,3.0166314277617623,66.76425726119358
2020-12-04,10243.84211600531,16582.824523576786,2.4384211600530836,65.82824523576787
2020-12-07,10369.533712609003,16786.295220114625,3.695337126090026,67.86295220114627
2020-12-08,10422.324709061311,16871.75376395782,4.2232470906131026,68.7175376395782
2020-12-09,10204.460370528988,16519.072996828276,2.0446037052898935,65.19072996828277
2020-12-10,10326.799490051573,16717.11667306204,3.267994900515725,67.17116673062039
2020-12-11,10257.252681678192,16604.53366891473,2.572526816781928,66.04533668914729
2020-12-14,10204.460370528988,16519.072996828276,2.0446037052898935,65.19072996828277
2020-12-15,10715.604662904296,17346.518013131685,7.156046629042967,73.46518013131684
2020-12-16,10709.739800057698,17337.023919964435,7.097398000576982,73.37023919964435
2020-12-17,10784.314666704295,17457.74639044623,7.843146667042955,74.57746390446232
2020-12-18,10613.375804429237,17181.029009871007,6.13375804429237,71.81029009871007
2020-12-21,10744.932263879527,17393.993799576096,7.449322638795275,73.93993799576096
2020-12-22,11050.783349428222,17889.10831076863,10.507833494282215,78.89108310768631
2020-12-23,10962.717804081429,17764.311318572265,9.627178040814277,77.64311318572265
