date,close,high,low,open,volume,ticker
2020-01-02,72.40050506591797,72.46076851156026,71.15666666509587,71.40977019424241,135480400,AAPL
2020-01-03,71.69662475585938,72.45594269937853,71.47244650368873,71.62912999102163,146322800,AAPL
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200,AAPL
2020-01-07,71.92804718017578,72.53308721808551,71.70868733859578,72.27757077764687,108872000,AAPL
2020-01-08,73.08511352539062,73.38643082203993,71.63155918060959,71.63155918060959,132079200,AAPL
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400,AAPL
2020-01-10,74.80622100830078,75.37029336253585,74.30483235122053,74.87131024106992,140644800,AAPL
2020-01-13,76.40440368652344,76.43092342751396,75.00388181987825,75.12200317385458,121532000,AAPL
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400,AAPL
2020-01-15,75.04967498779297,76.052459488537,74.6181867077714,75.17261475653767,121923600,AAPL
2020-01-16,75.98982238769531,76.10071246852102,75.23050414086309,75.59208495900991,108829200,AAPL
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400,AAPL
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200,AAPL
2020-01-22,76.58280181884766,77.13480977194556,76.48878729766383,76.79492300181599,101832400,AAPL
2020-01-23,76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000,AAPL
2020-01-24,76.72982025146484,77.9399074546243,76.53938572501609,77.19746512519868,146537600,AAPL
2020-01-27,74.47357940673828,75.15334557711078,73.49248860994267,74.74114561147599,161940000,AAPL
2020-01-28,76.58040618896484,76.75155238054386,75.25460987556971,75.3534428471521,162234000,AAPL
2020-01-29,78.18339538574219,79.0294966511186,77.46987813568431,78.20991513135742,216229200,AAPL
2020-01-30,78.07007598876953,78.12310810744944,76.83588197917527,77.26737024678101,126743200,AAPL
2020-01-31,74.60858154296875,77.78325671620777,74.31449554353281,77.3614124669731,199588400,AAPL
2020-02-03,74.40367126464844,75.56795795185045,72.85128411079334,73.35267280813538,173788400,AAPL
2020-02-04,76.8600082397461,77.05044280806926,75.60170706629567,76.00667569866678,136616400,AAPL
2020-02-05,77.48674011230469,78.28462753135985,76.88410566550306,77.98571584340952,118826800,AAPL
2020-02-06,78.39313507080078,78.3955479637908,77.19992270532863,77.75675661382517,105425600,AAPL
2020-02-07,77.32755279541016,78.14183107037995,76.8370524098855,77.89295663582978,117684000,AAPL
2020-02-10,77.6948013305664,77.6948013305664,75.83428641741939,75.91401971596468,109348800,AAPL
2020-02-11,77.22603607177734,78.2626130556721,77.00857427677795,78.19012824861761,94323200,AAPL
2020-02-12,79.05999755859375,79.06482742202022,77.67547849475221,77.67547849475221,113730400,AAPL
2020-02-13,78.49700164794922,78.82319807398167,78.12973294999506,78.33269781258844,94747600,AAPL
2020-02-14,78.51634979248047,78.76522420824622,78.00893385896474,78.4656030374421,80113600,AAPL
2020-02-18,77.07867431640625,77.25989377012822,76.0179329078446,76.19915236156656,152531200,AAPL
2020-02-19,78.19496154785156,78.42450907000605,77.32027709305024,77.32027709305024,93984000,AAPL
2020-02-20,77.39276885986328,78.44384294584167,76.88777163956716,77.95576130740083,100566000,AAPL
2020-02-21,75.6409912109375,77.4290289157497,75.0248480652508,76.9868493533589,129554000,AAPL
2020-02-24,72.04801177978516,73.49776723386336,69.88546431842104,71.8257200728422,222195200,AAPL
2020-02-25,69.60758209228516,73.0990790994302,69.13641603822464,72.71731344350151,230673600,AAPL
2020-02-26,70.71183013916016,71.97553646481957,69.22583207719232,69.23308056046676,198054800,AAPL
2020-02-27,66.08953857421875,69.10503360425979,65.95422860881692,67.9210677200737,320605600,AAPL
2020-02-28,66.05085754394531,67.27107285671417,61.94563554811998,62.1606861550344,426510000,AAPL
2020-03-02,72.20024108886719,72.83571844288954,67.10435128397388,68.20616489725688,341397200,AAPL
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600,AAPL
2020-03-04,73.14982604980469,73.30930003617219,70.82780458094045,71.62758575768213,219178400,AAPL
2020-03-05,70.77706909179688,72.37904277817594,70.41221158595323,71.40529059680607,187572800,AAPL
2020-03-06,69.83715057373047,70.2696631046371,67.95247104471461,68.13852037839982,226176800,AAPL
2020-03-09,64.31356811523438,67.19374467213605,63.54761077884886,63.72883020122201,286744800,AAPL
2020-03-10,68.94554138183594,69.21133137729244,65.08677501833562,66.96421319736713,285290000,AAPL
2020-03-11,66.55103302001953,67.95004932218703,65.68842661681832,67.02462518678024,255598800,AAPL
2020-03-12,59.97880554199219,65.23900324323806,59.92323260860385,61.84174314573799,418474000,AAPL
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000,AAPL
2020-03-16,58.52421951293945,62.60044418179931,57.99022457275424,58.46139441002403,322423600,AAPL
2020-03-17,61.09752655029297,62.24524591333619,57.60361433805932,59.804826482410455,324056000,AAPL
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600,AAPL
2020-03-19,59.14519119262695,61.09269547807698,58.62086339938416,59.775834978401704,271857200,AAPL
2020-03-20,55.39032745361328,60.848656123776394,55.09070998430256,59.72509337905043,401693200,AAPL
2020-03-23,54.21360778808594,55.211524041383235,51.37208822817037,55.11004159498472,336752800,AAPL
